Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
168360,KR7168360006,펨트론,KOSDAQ,벤처기업부,19200,2,-710,-3.57,19400,19750,18950,92353,1776623290,416785286400,21707567,KSQ
215200,KR7215200007,메가스터디교육,KOSDAQ GLOBAL,우량기업부,39750,2,-500,-1.24,40250,40900,39400,30925,1230228825,412017336000,10365216,KSQ
101160,KR7101160000,월덱스,KOSDAQ,우량기업부,24950,2,-700,-2.73,25300,25600,24350,71275,1783344350,411949275350,16510993,KSQ
069540,KR7069540003,빛과전자,KOSDAQ,벤처기업부,4160,2,-660,-13.69,4820,4870,4150,6808181,29390185782,407270402240,97901539,KSQ
230240,KR7230240004,에치에프알,KOSDAQ,중견기업부,30600,2,-1250,-3.92,31550,32400,29000,273271,8339438775,407255400000,13309000,KSQ
468530,KR7468530001,프로티나,KOSDAQ,기술성장기업부,36300,2,-3300,-8.33,39200,39200,36000,88951,3309239500,400578050400,11035208,KSQ
170920,KR7170920003,엘티씨,KOSDAQ,벤처기업부,37550,2,-700,-1.83,38250,38850,36400,141644,5327466800,396682931300,10564126,KSQ
098070,KR7098070006,한텍,KOSDAQ,중견기업부,35550,2,-850,-2.34,35950,36650,34500,59744,2122194375,395356562550,11121141,KSQ
215600,KR7215600008,신라젠,KOSDAQ,중견기업부,2830,2,-100,-3.41,2860,2950,2795,728191,2070818564,392106586120,138553564,KSQ
179900,KR7179900006,유티아이,KOSDAQ,투자주의환기종목(소속부없음),19790,2,-2060,-9.43,21300,21300,19360,146768,2944160215,391652253480,19790412,KSQ
042520,KR7042520007,한스바이오메드,KOSDAQ,벤처기업부,27450,2,-1650,-5.67,28700,28950,26950,183828,5060078350,391474524150,14261367,KSQ
425040,KR7425040003,티이엠씨,KOSDAQ,우량기업부,18300,1,300,1.67,17800,19130,17600,1402692,25851743410,391156680600,21374682,KSQ
254490,KR7254490006,미래반도체,KOSDAQ,우량기업부,27000,1,800,3.05,26100,28300,25950,269707,7383328900,389826000000,14438000,KSQ
144960,KR7144960002,뉴파워프라즈마,KOSDAQ,우량기업부,8910,1,510,6.07,8500,9220,8130,1260456,11159563705,389301279840,43692624,KSQ
287840,KR7287840003,인투셀,KOSDAQ,기술성장기업부,25850,2,-1300,-4.79,26300,26850,25100,82480,2134834150,388317666000,15021960,KSQ
110990,KR7110990009,디아이티,KOSDAQ,우량기업부,20500,2,-800,-3.76,21100,21350,20050,99126,2051036900,387450000000,18900000,KSQ
067630,KR7067630004,HLB생명과학,KOSDAQ,투자주의환기종목(소속부없음),3160,2,-120,-3.66,3450,3450,3145,217541,698116781,385257903280,121917058,KSQ
047920,KR7047920004,HLB제약,KOSDAQ,기술성장기업부,11660,2,-130,-1.1,12180,12180,11450,80637,944455390,382440490960,32799356,KSQ
084110,KR7084110006,휴온스글로벌,KOSDAQ,우량기업부,29600,2,-1450,-4.67,30550,31500,29450,66411,1983784375,374730435200,12659812,KSQ
078130,KR7078130002,국일제지,KOSDAQ,중견기업부,3300,2,-195,-5.58,3495,3495,3175,205483,676906365,372043937100,112740587,KSQ
241770,KR7241770007,메카로,KOSDAQ,우량기업부,36450,1,150,0.41,35750,36750,33600,27276,957388250,371521728000,10192640,KSQ
417840,KR7417840006,저스템,KOSDAQ,벤처기업부,16360,2,-1200,-6.83,17500,17500,16000,1045364,17268649180,370781911160,22663931,KSQ
234340,KR7234340008,헥토파이낸셜,KOSDAQ,우량기업부,26450,1,50,0.19,26850,28000,25900,262343,7068463625,369523851200,13970656,KSQ
080580,KR7080580004,오킨스전자,KOSDAQ,벤처기업부,17500,2,-440,-2.45,17940,18250,17030,297803,5238064835,369091712500,21090955,KSQ
078020,KR7078020005,LS증권,KOSDAQ,우량기업부,6650,2,-210,-3.06,6930,6930,6610,187001,1259721110,368949913500,55481190,KSQ
488900,KR7488900002,비츠로넥스텍,KOSDAQ,기술성장기업부,12720,2,-450,-3.42,12700,13240,12210,67074,857333670,368580354960,28976443,KSQ
114810,KR7114810005,한솔아이원스,KOSDAQ,우량기업부,13030,2,-770,-5.58,13450,13660,12960,217286,2865836910,366705557220,28143174,KSQ
079370,KR7079370003,제우스,KOSDAQ,우량기업부,11760,2,-290,-2.41,12040,12350,11400,285849,3399196945,364759802400,31016990,KSQ
119850,KR7119850006,지엔씨에너지,KOSDAQ,우량기업부,22050,2,-650,-2.86,22200,23300,21600,121510,2698706350,362698443450,16448909,KSQ
092870,KR7092870005,엑시콘,KOSDAQ,우량기업부,27750,2,-1450,-4.97,29200,29400,27200,308057,8636745175,362159616750,13050797,KSQ
265520,KR7265520007,AP시스템,KOSDAQ,우량기업부,23950,2,-950,-3.82,24500,24650,23600,68165,1640589575,360467162950,15050821,KSQ
206650,KR7206650004,유바이오로직스,KOSDAQ,우량기업부,9780,2,-220,-2.2,9740,10020,9650,245535,2398958945,359153942460,36723307,KSQ
058970,KR7058970005,엠로,KOSDAQ,기술성장기업부,28950,1,2400,9.04,27900,30600,26700,340736,9754248650,357902886300,12362794,KSQ
187660,KR7187660006,페니트리움바이오,KOSDAQ,중견기업부,6410,2,-180,-2.73,6590,6740,5940,794088,5118643020,355538681730,55466253,KSQ
441270,KR7441270006,파인엠텍,KOSDAQ,벤처기업부,8470,2,-600,-6.62,9000,9050,8320,406146,3464508415,353463365640,41731212,KSQ
241520,KR7241520006,DSC인베스트먼트,KOSDAQ,중견기업부,13160,2,-940,-6.67,14100,14670,13100,1415717,19421453940,350056000000,26600000,KSQ
200470,KR7200470003,에이팩트,KOSDAQ,중견기업부,8250,2,-350,-4.07,8300,8680,7960,892744,7417359070,349487267250,42362093,KSQ
317330,KR7317330009,덕산테코피아,KOSDAQ,중견기업부,17010,2,-1080,-5.97,17330,17860,16910,227119,3913609315,348306693840,20476584,KSQ
304360,KR7304360001,에스바이오메딕스,KOSDAQ,벤처기업부,28000,2,-2300,-7.59,29750,30100,27800,65894,1878058000,346783584000,12385128,KSQ
274090,KR7274090000,켄코아에어로스페이스,KOSDAQ,기술성장기업부,25200,2,-1550,-5.79,25500,26900,25050,893231,22979544725,345985365600,13729578,KSQ
052710,KR7052710001,아모텍,KOSDAQ,중견기업부,23600,2,-4800,-16.9,28300,28300,23050,906899,21999035200,344856085600,14612546,KSQ
003800,KR7003800000,에이스침대,KOSDAQ,우량기업부,30950,2,-450,-1.43,31100,31850,30800,7809,242270750,343235500000,11090000,KSQ
242040,KR7242040004,나무기술,KOSDAQ,기술성장기업부,9910,1,1130,12.87,9000,11100,9000,8746355,91620671445,342948076240,34606264,KSQ
484590,KR7484590005,삼양컴텍,KOSDAQ,벤처기업부,8250,2,-230,-2.71,8480,8680,8210,89803,753137520,339986212500,41210450,KSQ
092460,KR7092460005,한라IMS,KOSDAQ,우량기업부,19800,2,-750,-3.65,20100,20350,18900,56535,1112299420,338771664000,17109680,KSQ
389650,KR7389650003,넥스트바이오메디컬,KOSDAQ,기술성장기업부,40900,2,-750,-1.8,41950,43850,39800,50024,2038257600,338540997400,8277286,KSQ
091700,KR7091700005,파트론,KOSDAQ GLOBAL,우량기업부,6750,2,-240,-3.43,6990,6990,6700,259396,1768543275,337500000000,50000000,KSQ
049070,KR7049070006,인탑스,KOSDAQ,우량기업부,19590,1,820,4.37,19520,20700,19000,261106,5179060870,336948000000,17200000,KSQ
452430,KR7452430002,사피엔반도체,KOSDAQ,기술성장기업부,40800,2,-1200,-2.86,43300,43500,40350,59832,2467189550,336821176800,8255421,KSQ
376270,KR7376270005,HEM파마,KOSDAQ,기술성장기업부,46600,2,-2900,-5.86,49550,49800,46000,31262,1466342700,335668514200,7203187,KSQ
094360,KR7094360005,칩스앤미디어,KOSDAQ,벤처기업부,15710,1,210,1.35,16250,16250,15520,82405,1305835300,335491354540,21355274,KSQ
378340,KR7378340004,필에너지,KOSDAQ,중견기업부,15430,2,-930,-5.68,16010,16260,15400,72543,1131718690,333679644260,21625382,KSQ
243070,KR7243070000,휴온스,KOSDAQ,우량기업부,27850,2,-1550,-5.27,28700,29350,27800,48057,1366681825,333633670250,11979665,KSQ
089980,KR7089980007,상아프론테크,KOSDAQ,우량기업부,20850,1,400,1.96,20300,21050,19500,74540,1521648430,333371421450,15989037,KSQ
042370,KR7042370007,비츠로테크,KOSDAQ,우량기업부,12630,2,-230,-1.79,12860,13250,12200,301001,3843895565,330906315750,26200025,KSQ
