Date,Close,UpDown,Comp,Change,Open,High,Low,Volume,Amount,MarCap
2018-11-01,657.46,1,8.79,0.0136,655.11,668.73,654.66,582655723,3481590252188,219969011322799.0
2018-11-02,690.65,1,33.19,0.0504999999999999,666.59,690.65,666.59,564217746,3581843359917,228151626412950.0
2018-11-05,691.94,1,1.29,0.0019,686.76,693.29,680.11,442503416,2904270959046,228699530285194.0
2018-11-06,691.55,2,-0.39,-0.0006,695.32,695.65,683.31,512018985,3016737507734,228714727297681.0
2018-11-07,682.37,2,-9.18,-0.0133,693.56,700.25,677.5,599590009,3820519509094,225696121485102.0
2018-11-08,693.67,1,11.3,0.0166,695.05,697.25,691.39,747371996,3358583711444,229337746248212.0
2018-11-09,687.29,2,-6.38,-0.0092,694.18,695.11,680.68,791776609,3219009264656,227355451815978.0
2018-11-12,670.82,2,-16.47,-0.024,677.96,682.52,670.13,574240069,2967793183621,221787657453778.0
2018-11-13,670.85,1,0.03,0.0,658.52,671.93,651.19,542147688,3036524874595,221928492865130.0
2018-11-14,671.56,1,0.71,0.0011,670.25,680.29,665.78,459371960,3024043900031,222360383996961.0
2018-11-15,681.38,1,9.82,0.0146,672.32,681.38,666.63,667932090,2903394326353,225865873975925.0
2018-11-16,690.18,1,8.8,0.0129,685.05,692.6,682.87,659141811,3031283088053,229002079768892.0
2018-11-19,702.13,1,11.95,0.0173,693.25,702.26,692.2,489402549,3312345095116,233419912312611.0
2018-11-20,690.81,2,-11.32,-0.0161,691.53,697.98,689.54,486692798,3288354893877,229680998622463.0
2018-11-21,695.72,1,4.91,0.0070999999999999,681.66,695.72,676.67,573867867,3394007896991,231848525861418.0
2018-11-22,692.39,2,-3.33,-0.0048,697.84,700.41,690.06,513214600,3020832991167,230887230587742.0
2018-11-23,683.06,2,-9.33,-0.0135,694.24,695.75,682.21,578900277,2986754708574,227802294833461.0
2018-11-26,695.36,1,12.3,0.018,685.1,697.57,685.06,470518186,2664505049470,231910663957195.0
2018-11-27,700.67,1,5.31,0.0076,698.96,702.13,693.18,521351708,2734460187217,234015590812190.0
2018-11-28,700.12,2,-0.55,-0.0008,702.99,703.24,698.74,658486858,3002075718277,233903944153814.0
2018-11-29,695.48,2,-4.64,-0.0066,709.69,710.45,694.71,667660376,3280449132345,232763354904228.0
2018-11-30,695.76,1,0.28,0.0004,696.99,700.51,692.8,537912083,2869072828899,233039252202824.0
2018-12-03,709.46,1,13.7,0.0197,704.38,709.65,702.65,549159722,3055096990811,237940070226674.0
2018-12-04,708.63,2,-0.83,-0.0012,709.46,711.77,704.3,656060919,2990364695417,237673253967067.0
2018-12-05,701.12,2,-7.51,-0.0106,695.14,702.69,694.88,639456960,2996231641527,235222582574375.0
2018-12-06,678.38,2,-22.74,-0.0324,699.15,699.54,677.09,637155175,3066759459291,227584350481934.0
2018-12-07,685.33,1,6.95,0.0102,685.48,687.81,679.28,600793565,2968604114517,229981711040784.0
2018-12-10,670.39,2,-14.94,-0.0218,675.53,680.19,667.25,495079044,2643646153096,224946562819319.0
2018-12-11,661.01,2,-9.38,-0.0139999999999999,673.23,673.61,661.01,566811528,3336836216121,221862468009549.0
2018-12-12,676.48,1,15.47,0.0233999999999999,664.76,676.98,664.76,524545971,2740279607439,227205577853831.0
2018-12-13,681.78,1,5.3,0.0078,678.51,681.78,673.78,553272397,3349855847228,229071450444581.0
2018-12-14,666.34,2,-15.44,-0.0226,680.91,680.91,663.43,522166804,3538722920672,223900925599200.0
2018-12-17,661.9,2,-4.44,-0.0067,665.48,665.77,652.84,550124013,3392667239260,222497887459774.0
2018-12-18,659.67,2,-2.23,-0.0034,654.14,665.17,653.81,675886473,3521203344218,221758984295227.0
2018-12-19,672.08,1,12.41,0.0187999999999999,663.73,673.59,661.2,777025225,3570092226068,226429851800210.0
2018-12-20,668.13,2,-3.95,-0.0059,667.74,677.79,664.34,597235110,3193672962699,225149068065952.0
2018-12-21,673.64,1,5.51,0.0081999999999999,667.22,675.23,667.21,629582676,3277942486143,227178218535190.0
2018-12-24,669.79,2,-3.85,-0.0056999999999999,671.78,673.48,668.46,690900740,3392852221903,226553577652210.0
2018-12-26,665.74,2,-4.05,-0.006,658.7,666.69,655.8,696045076,3848396998721,225343624143510.0
2018-12-27,667.88,1,2.14,0.0032,678.86,678.86,667.13,575975991,3318858353423,225448053533305.0
2018-12-28,675.65,1,7.77,0.0116,670.83,675.89,669.71,598210555,3033870814294,228238295556450.0
2019-01-02,669.37,2,-6.28,-0.0093,682.16,683.09,667.71,539451686,3384325928172,226172804873996.0
2019-01-03,657.02,2,-12.35,-0.0185,671.98,673.61,656.85,656327569,3626867586671,221939519745490.0
2019-01-04,664.49,1,7.47,0.0113999999999999,655.62,664.49,648.95,554455638,3331488964507,224484123520116.0
2019-01-07,672.84,1,8.35,0.0126,672.76,675.31,669.07,584294682,3211134627621,227214008912378.0
2019-01-08,668.49,2,-4.35,-0.0065,674.53,675.05,667.01,623518443,3713727831818,225736488713264.0
2019-01-09,679.74,1,11.25,0.0168,672.38,681.12,671.95,622017629,3193834800235,229481678678262.0
2019-01-10,683.34,1,3.6,0.0053,680.61,685.65,678.23,735087237,3742925557164,230368301689768.0
2019-01-11,686.33,1,2.99,0.0044,686.09,688.01,683.59,701507943,3570684869324,231370185200878.0
2019-01-14,683.09,2,-3.24,-0.0046999999999999,687.42,687.42,682.54,613343310,3108914766615,230223287985563.0
2019-01-15,690.39,1,7.3,0.0107,684.97,691.56,684.32,639018327,3517053518394,232655529282550.0
2019-01-16,693.38,1,2.99,0.0043,692.72,693.5,687.43,788307833,3971466187284,233791659218652.0
2019-01-17,686.35,2,-7.03,-0.0101,694.94,696.21,686.27,862712540,4591532425577,231441898717926.0
2019-01-18,696.34,1,9.99,0.0146,690.83,696.34,689.8,819962730,4437355713901,234953392130970.0
2019-01-21,695.62,2,-0.72,-0.001,698.74,698.74,692.95,794340039,4025977636613,234700429265073.0
2019-01-22,694.55,2,-1.07,-0.0015,698.0,698.3,692.45,794374278,3930136680080,234383726172398.0
2019-01-23,695.63,1,1.08,0.0016,691.5,697.06,690.91,683155731,3926609186389,234782562964434.0
2019-01-24,704.41,1,8.78,0.0126,696.97,704.78,696.8,605765601,3742060902639,237779647415955.0
2019-01-25,711.38,1,6.97,0.0098999999999999,705.66,712.67,704.67,631592683,3816846591053,240274364183482.0
2019-01-28,714.26,1,2.88,0.004,713.41,717.31,711.96,664266603,3699906342744,241311836491744.0
2019-01-29,710.99,2,-3.27,-0.0046,712.65,713.65,705.89,703385953,3922761019731,240178987977898.0
2019-01-30,715.3,1,4.31,0.0060999999999999,712.87,716.77,711.71,719235308,3898469223103,241788283362943.0
2019-01-31,716.86,1,1.56,0.0022,719.93,721.58,714.31,684510366,3771395597638,242350256510105.0
2019-02-01,716.92,1,0.06,0.0001,719.08,719.74,714.66,643316085,3952423768726,242782200511810.0
2019-02-07,728.79,1,11.87,0.0166,719.86,728.89,717.53,713057339,3702347432161,246736050134590.0
2019-02-08,728.74,2,-0.05,-0.0001,726.4,729.74,724.99,736597474,3648374473503,246776515243943.0
2019-02-11,733.47,1,4.73,0.0065,731.82,733.94,730.32,704616472,3822231369341,248908061978054.0
2019-02-12,730.58,2,-2.89,-0.0039,734.87,735.14,729.52,692220009,3825195419827,247959824641585.0
2019-02-13,739.91,1,9.33,0.0128,734.56,740.44,733.37,798622665,3948426111484,250983252700381.0
2019-02-14,742.27,1,2.36,0.0032,740.69,742.46,737.07,738308285,3987054876490,251780394230617.0
